title,genre,platform,keyword,multiplayer_mode,release_date,storyline,total_rating,total_rating_count
Grand Theft Auto V: Special Edition,"5,10,14","9,12",,,1379376000,"The Grand Theft Auto V Special Edition includes: Full retail copy of Grand Theft Auto V; Collectible SteelBook with Exclusive Artwork - features custom color and metallic treatments to bring out the detail of the Michael, Trevor and Franklin artwork created exclusively for this SteelBook; Blueprint Map - exclusive, 21.5” x 26.75” map displays a blueprint view of Los Santos and Blaine County; Special Ability Boost - Michael, Franklin and Trevor each have a unique special ability. With this boost, the special ability bar will generate 25% faster; Stunt Plane Trials – single-player Stunt Plane Trials let players take on additional aerial challenges spread throughout Los Santos and Blaine County; Bonus Outfits, Tattoos and More - Michael, Franklin and Trevor get bonus outfits in their wardrobes, character specific tattoos at tattoo parlors, and special deals from shopkeepers across Los Santos and Blaine County; Additional Weapons - when visiting Ammunation stores in single-player, merchants will have special weapons in their inventory available for free: the Pistol .50, Bullpup Shotgun and melee Hammer.  Grand Theft Auto V is the largest and most ambitious game Rockstar Games has yet created, and takes full advantage of every ounce of processing power available in the current generation of consoles. In order to provide the best possible experience for such a massive and detailed world, the game will have installation requirements on the Xbox 360.  Grand Theft Auto V will ship on two discs; Disc 1 will be used for a one-time mandatory install and Disc 2 will be used to play the game. After the install, players will be able to enjoy both Grand Theft Auto V and Grand Theft Auto Online without any need to switch discs.  This initial install will require an Xbox 360 Hard Drive or an external 16GB USB flash drive (sold separately) with at least 8 GB of free space. If using a USB flash drive it must be at least USB 2.0 with a minimum 15mb/s read speed and formatted for Xbox 360 use. A new USB flash drive is recommended to ensure optimum performance.",99.31413324655014,78
The Elder Scrolls V: Skyrim - Anniversary Edition,"12,31","169,48,6,167,49,130",49376,,1636588800,"The Elder Scrolls V: Skyrim - Anniversary Edition contains the full game plus all three expansions and over 500 pieces of unique content from Creation Club, including pre-existing and new quests, dungeons, bosses, weapons, spells and more!",99.15189005101439,69
The Witcher 3: Wild Hunt - Game of the Year Edition,"12,31","48,6,49","151,537,2242,2472,4843",,1472428800,"In the town of White Orchard, Geralt reunites with his long lost lover, Yennefer. She informs Geralt that Emperor Emhyr has summoned him to the city of Vizima. There, Emhyr tasks Geralt with finding Ciri, who has been recently spotted in various locations. Ciri is a Child of the Elder Blood, the last heir to an ancient Elven bloodline that bestows her with the power to manipulate space and time.  Geralt first follows clues that Ciri was in Velen at Crow's Perch, the fort of the Bloody Baron. The Baron refuses to help, but Geralt's acquaintance, sorceress Keira Metz, informs him that an Elven mage, Avallac'h, was searching for Ciri. Keira directs Geralt to the Crones of Crookback Bog, malicious, ancient spirits residing near Velen. The Crones reveal that they had captured Ciri for the Wild Hunt before she escaped, and that they have enslaved the Baron's missing wife, Anna. After determining Anna's fate, Geralt returns to the Baron who tells him that Ciri went to Novigrad.  Arriving in Novigrad, Geralt discovers that the Church of the Eternal Fire, a militant religious organization, is purging mages in the city. Rendezvousing with his former lover, Triss Merigold, Geralt learns that Ciri had contacted his friend Dandelion. Geralt navigates Novigrad's criminal underworld to rescue Dandelion, and discovers that Ciri teleported to the Skellige archipelago. While in Novigrad, Geralt may assist Triss in liberating fugitive mages.  After sailing to Skellige, Geralt reunites with Yennefer, who has been investigating a magical explosion linked to Ciri. The pair track Ciri's movements to the island of Lofoten and learn the Wild Hunt have attacked it. Following clues, they realise that Uma, a deformed, cursed creature at Crow's Perch, was present following Ciri's escape. Before leaving Skellige, Geralt can help determine who will become the leader of Skellige following the king's death. Yennefer chooses to sever the magical bond that draws her and Geralt together, giving him the option to willingly affirm his love for her or end their relationship.  The pair recover Uma to the abandoned witcher school of Kaer Morhen where Yennefer successfully removes Uma's curse, transforming him into Avallac'h. He reveals that he teleported Ciri to the Isle of Mists to save her from the Lofoten attack. Geralt travels to the Isle and finds Ciri in a deathlike state until she is awakened by Avallac'h's magic. Ciri reveals that the King of the Wild Hunt, Eredin's homeworld is being destroyed by a plight known as the White Frost, and he wants Ciri's power in order to conquer the Continent. Ciri and Geralt teleport to Kaer Morhen pursued by the Wild Hunt. After a brief reunion with Yennefer, Triss, and their witcher mentor Vesemir, the Hunt attacks. Vesemir is killed protecting Ciri and her distress causes her to uncontrollably unleash her Elder power leading Eredin and the Hunt to retreat. Geralt, Yennefer, Triss, Ciri, and their allies then hold a funeral for Vesemir.  Ciri and Geralt travel to Novigrad and help Triss and Yennefer reform the Lodge of Sorceresses to aid in their fight. They also learn about the Sunstone, a relic that can lure Eredin out and bind him to a location. On the Skelligan isle of Undvik, Avallac'h uses the Sunstone to draw out the Hunt and their fleet. Geralt, Ciri, their allies and the Nilfgaardian fleet battle the Hunt, before Geralt faces Eredin in combat and emerges victorious. As the White Frost descends on Skellige, Ciri insists that she must confront it with her Elder Blood before it consumes all life on every world. Ciri enters a portal and defeats the White Frost, ending the threat.  The ending varies depending on choices made throughout the game. If Ciri is alive, Geralt can retire with either Yennefer or Triss, or remain a lone Witcher. If Geralt helps Nilfgaard win the war and took Ciri to meet the emperor, she will become Empress, believing it the best way to positively affect the world; if Ciri doesn't meet the Emperor, Geralt fakes her death and she becomes a Witcher. If Ciri dies fighting the White Frost, Geralt hunts down her stolen medallion as a keepsake, but is surrounded by monsters upon its discovery, leaving his fate ambiguous.",97.98638817423975,560
Bloodborne: Game of the Year Edition,12,48,"11278,29644",9461,1448582400,"With new story details, learn the tale of hunters who once made Yharnam their hunting grounds, meet new NPCs, and discover another side of the history and world of Bloodborne. Includes: The Original Bloodborne Experience / Bloodborne: The Old Hunters Expansion / Bloodborne: The Old Hunters",97.12644832663457,107
Animal Company,31,"386,163",,,1719792000,"Enter the chaotic and fun world of Animal Company, where survival meets pure chaos in this multiplayer VR adventure. Whether you’re exploring eerie environments, customizing your character in the Lab, or braving the terrors that await you and your friends, the excitement never stops. With weekly updates, there’s always something fresh to experience.",96.69610648090557,73
The Legend of Zelda: A Link to the Past,"9,31","306,19,5,41,137,58","16,147,226,394,472,558,687,701,1033,1181,1193,1289,1320,1379,1381,1422,1705,1898,1986,2066,2071,2109,2111,2199,2324,3203,3486,3831,4007,4031,4138,4170,4269,4285,4353,4388,4392,4396,4412,4484,4522,4587,4613,4699,4725,4760,4776,4787,4843,4852,4879,4903,4918,4991,4999,5000,5004,5100,5105,5210,5323,5329,5449,5587,5594,5599,5659,5818,5840,5901,5938,5971,6062,6152,6296,6539,6541,6746,7080,7215,7226,7305,7423,7454,7653,8669,8866,8896,9373,9404,9529,9843,10006,11531,12042,12763,23933,25264,26191,26906,27629,28869,28966,30367,30490,30703,37362,39459,42064,42805,47799,48878",,690681600,"The wizard Agahnim has been abducting descendants of the seven sages, intent on using their power to obliterate the barrier leading to the Dark World. One of the descendants happens to be Princess Zelda, who informs Link of her plight. Armed with a trusty sword and shield, Link begins a journey that will take him through treacherous territory.",96.16632228497956,1583
Super Metroid,"5,8,31","19,5,41,137,58","3,72,288,382,477,826,962,1033,1059,1299,1705,2155,3203,3486,3831,4138,4213,4269,4396,4522,4709,4790,4918,4991,5105,5210,5323,5535,6620,10336,26191,27629,30367,30490,37362,39459,40744,42805",,764035200,"After Samus completed her mission and eradicated the entire Metroid population on SR388 as commanded by the Galactic Federation (sans the Metroid Hatchling, which she nicknamed ""Baby""), she brought the Hatchling to the Ceres Space Colony for research. However, shortly after she left, she received a distress signal from the Station and returned to investigate.  When Samus arrives at the Space Science Academy where the Baby was being studied, she finds all the scientists slaughtered and the containment unit that held the Baby missing. Upon further exploration of the Station, she finds the Baby in a small capsule. As she approaches, Ridley appears and grabs the capsule. After a brief battle, Samus repels Ridley, and he activates a self-destruct sequence to destroy Ceres.  After escaping the explosion, Ridley flees to Zebes, and Samus goes after him.",96.11226858407103,982
Super Mario World,"8,31","52,19,5,41,137,58","87,1381,2165,2555,4134,4164,4396,4522,14101,25657,26191,26906,27629,28668,29622,29768,30367,30490,30703,34033,37362,39459,39990,39991,39993,40223,41038,41039,41040,41042,41044,41047,41050,41051,41052,42805","14503,14504,14505,32164",659145600,"Mario is having a vacation in Dinosaur Land when he learns that Princess Peach Toadstool has been kidnapped by the evil King Koopa Bowser. When Mario starts searching for her he finds a giant egg with a dinosaur named Yoshi hatching out of it. Yoshi tells Mario that his fellow dinosaurs have been imprisoned in eggs by Bowser's underlings. The intrepid plumber has to travel to their castles, rescue the dinosaurs, and eventually face King Koopa himself, forcing him to release the princess.",96.08490752463251,1823
Suikoden II,"12,15,16","9,6,46,7,38","151,415,589,1107,2327,4248,4359,4862,4998,5307,5518,6064,6325,8983,9339,9637,11281,41044",,913852800,"Experience An Epic Tale of Warfare, Magic, Friendship And Betrayal  -New tactical map battles add a whole level of strategy -Fantastic spells with stunning animation sequences and specialized attacks -Over 108 different characters can join your party and help you on your quest -Unlock hidden storylines using your memory card data from the original Suikoden -Build up your castle during the game to a thriving virtual community",95.85973506913882,109
Elden Ring,"12,31","169,48,508,6,167,49","72,98,105,109,151,162,226,227,250,332,558,623,701,905,1032,1065,1293,1317,1320,1333,1345,1494,1524,3433,3486,4004,4135,4150,4272,4359,4392,4397,4580,4613,4759,4770,4777,4843,4850,4852,4855,4886,4891,4897,5018,5019,5323,5541,5840,5999,6648,6716,7080,7369,7423,7653,9533,9777,9781,9782,12083,16877,17326,17689,24287,38778,39010,39011,39025,39034,39041,39046,39049,39942,40744,42105,43613,44373,44629,47799,48013,48014,48097,48116,48594",28375,1645747200,"Elden Ring takes place in the Lands Between, a fictional realm over which several demigods rule. It was previously ruled over by the immortal Queen Marika, who acted as keeper of the Elden Ring, a powerful force that manifested itself as the physical concept of order. When Marika shattered the Elden Ring and disappeared, her demigod children began fighting over pieces of the Ring in an event called The Shattering. Each demigod has a shard of the Ring called a Great Rune, which corrupts them with power. In the game, the player character is a Tarnished, one of a group of exiles from the Lands Between who are summoned back after the Shattering. The player must traverse the realm to repair the Elden Ring and become the Elden Lord.",95.7587749932713,1801
